,0,1,2,3,4,5,6,7,8,9,10,11,12
videoname,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
total_time,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
total_distance,2602.6594058526466,4919.086329456615,4565.636629986986,3146.275738331075,3138.467158945903,3075.4644586581094,3539.2373772794117,3407.7590638885567,2695.8235676524096,3055.3383527196934,1687.3706651513448,2436.425593094213,3752.444382106031
speed_avg,43.377656764210776,81.98477215761025,76.09394383311643,52.43792897218459,52.30778598243172,51.25774097763516,58.98728962132353,56.795984398142615,44.930392794206824,50.922305878661554,28.122844419189082,40.607093218236884,62.54073970176718
max_speed,118.78195210879134,493.1907944816908,343.507337747917,128.06604034339966,123.061193055167,192.95385141953668,136.77668490899495,169.1185762976193,138.08383096305818,167.72652773892494,104.78988627526455,89.30429073882185,144.32050211145855
max_distance_1s,68.50709258021777,200.530570829801,120.66552658420923,87.13586091062288,76.03766250133732,106.98338108623888,97.36624208138446,103.75642549397944,75.89981850434802,112.94336092507923,50.8534572947191,59.599944928973954,96.2548804194484
active_speed,43.377656764210776,81.98477215761025,76.09394383311643,52.43792897218459,52.30778598243172,51.25774097763516,58.98728962132353,56.795984398142615,44.930392794206824,50.922305878661554,28.122844419189082,40.607093218236884,62.54073970176718
freeze_percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freeze_count,0,0,0,0,0,0,0,0,0,0,0,0,0
freeze_freq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish_length,145.10238882178413,148.73102285360284,127.32848822539029,149.52160371754243,139.82237968789417,154.92089375116174,136.79867896511848,127.91355677176594,131.7171208725462,126.48450730255692,129.78688364405005,140.89961793476402,123.58090451097124
