Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
bend,,,angle change,sum,334.3096332183593,399.323239948988,641.040185899177,324.4056061805922,332.82220333678913,493.1474780199427,323.9050019887243,505.6535756314712,581.4508710536584,441.21354883211023,410.76290971984076,537.9091866233703,483.51836059655477
bend,,,angle change,mean,0.9312246050650677,1.4681001468712793,1.1467624076908354,1.1034204291856877,1.0841114115204857,0.9942489476208523,1.128588857103569,1.3592838054609442,0.9838424214105894,1.3492769077434563,0.7884124946638018,0.856543290801545,1.1089870655884284
bend,,,angle change,std,0.6058571363278573,0.6998174974612956,0.745256862024185,0.595503027094056,0.543208573984791,0.7167086660098303,0.5211820012455635,0.8395894452032958,0.6507396218591522,0.6561489871184599,0.5157447082852787,0.5784048513591334,0.6225741500736476
bend,,,angle change,max,3.8018220458199785,4.501565640102062,4.606064999766637,3.822636063589445,3.4008930505101747,4.936328271594592,2.7407859485905797,6.47775010282826,4.953397492634162,3.1506576343109876,3.566797672569411,4.641825701508531,4.924389479974854
bend,,,dur,sum,32.45,21.98,36.24,26.16,26.92,38.53000000000001,24.360000000000003,31.150000000000002,40.19,27.79,40.03,41.88,30.310000000000006
bend,,,dur,mean,0.0903899721448468,0.08080882352941177,0.06483005366726298,0.08897959183673469,0.08768729641693812,0.07768145161290324,0.08487804878048781,0.08373655913978495,0.06800338409475465,0.08498470948012232,0.07683301343570058,0.06668789808917198,0.06951834862385323
bend,,,dur,std,0.05247360080881431,0.03536953360023135,0.028616825110200396,0.04794386213642351,0.04015728799692603,0.0391638276045133,0.04123829487274659,0.04473661111564437,0.030577603225841084,0.045293010726794786,0.03707255028913176,0.0314637795359706,0.03280029622837249
bend,,,dur,max,0.34,0.21,0.28,0.26,0.25,0.27,0.25,0.27,0.21,0.25,0.29,0.21,0.29
bend,,,angular velocity,sum,,,,,,,,,,,,,
bend,,,angular velocity,mean,10.81567926117704,18.848075091457144,17.22800142488293,13.09151536373146,12.750732796409764,12.960856416484207,13.968206164009283,16.687048407198567,14.822911326510686,16.893656631706385,10.505842048265784,14.126018332185085,15.937037415903601
bend,,,angular velocity,std,5.43428401424076,8.64621224015566,9.32985578244285,6.185234303800123,5.969197790645302,7.847532709411134,6.433141070897588,8.889163138661415,9.403218708345817,8.561995343213859,7.022383289221171,16.759545938499226,7.965569709921095
bend,,,angular velocity,max,29.8122733231163,45.28338724815215,55.02194641131546,33.54563801217799,34.008930505101745,90.51548887899419,29.896545775054445,61.96379651532218,161.35267258786698,44.69939924126545,84.47434274336564,232.09128507542655,40.59133540143761
bend,,,,count,359.0,272.0,559.0,294.0,307.0,496.0,287.0,372.0,591.0,327.0,521.0,628.0,436.0
bend,bend left,,angle change,sum,167.06755475653654,197.67350383272537,318.0649020482264,161.41241988354398,159.3245966493681,243.8806310523728,160.02127706854662,252.79527061413012,285.3353689283027,218.50425547199944,204.17381592657966,266.50371022855614,239.88922332398212
bend,bend left,,angle change,mean,0.9030678635488462,1.4119535988051812,1.0818534083273006,1.0619238150233157,1.0621639776624539,0.9833896413402129,1.1512322091262348,1.4612443388100007,0.9805339138429647,1.3084087154011943,0.7792893737655713,0.8541785584248595,1.1701913332877176
bend,bend left,,angle change,std,0.5707770121889837,0.7034153188373913,0.7408873635615871,0.5969755499551435,0.5340587546803762,0.7043458172974659,0.517525120869348,0.8226678192780728,0.6239518803998114,0.6777882021970445,0.49899563124067414,0.5410214087396553,0.5731587944022348
bend,bend left,,angle change,max,3.1888719110330994,3.422163029610659,4.606064999766637,3.822636063589445,3.130613731281434,4.525774443949709,2.6906891197549,5.5767416863789965,4.400311517245836,3.1289579468885815,3.1082284506583138,3.8804434380619144,3.0823227801996786
bend,bend left,,dur,sum,17.0,12.25,18.720000000000002,14.55,14.790000000000001,19.790000000000003,13.020000000000001,15.55,20.94,14.45,20.5,21.690000000000005,15.010000000000002
bend,bend left,,dur,mean,0.0918918918918919,0.0875,0.06367346938775512,0.09572368421052632,0.09860000000000001,0.0797983870967742,0.09366906474820146,0.08988439306358383,0.07195876288659794,0.08652694610778443,0.07824427480916031,0.06951923076923079,0.07321951219512196
bend,bend left,,dur,std,0.049642079682519755,0.03848058465880493,0.02869354692297981,0.04990855178527614,0.04542166351839752,0.040206446970042165,0.04302247280794387,0.04459101535462308,0.0320335764124866,0.050609872646473424,0.03662967655664594,0.034156246085793186,0.03225777926780286
bend,bend left,,dur,max,0.24,0.18,0.28,0.23,0.23,0.23,0.24,0.27,0.19,0.25,0.22,0.21,0.24
bend,bend left,,angular velocity,sum,,,,,,,,,,,,,
bend,bend left,,angular velocity,mean,10.367415212721811,16.770144380019577,16.48853565405315,11.762218289766324,11.108282665389373,12.841253268753357,13.0736043930227,17.127217289113617,13.898169283649974,16.4388733871812,10.304027667909242,13.707891128934271,16.40854497618893
bend,bend left,,angular velocity,std,5.428939130405183,9.074746933775922,9.08224580254844,5.953295543684584,4.924772832510218,9.174464473963589,6.314139695481491,8.96238858051154,6.720745936867511,9.079206927987833,7.039979205766905,15.348737202439173,8.293565124852675
bend,bend left,,angular velocity,max,29.8122733231163,45.28338724815215,39.96754342331198,33.54563801217799,26.980934680250584,90.51548887899419,29.896545775054445,61.96379651532218,59.64686751843297,44.69939924126545,67.42757386473798,192.51094628587316,40.59133540143761
bend,bend left,,,count,185.0,140.0,294.0,152.0,150.0,248.0,139.0,173.0,291.0,167.0,262.0,312.0,205.0
bend,bend right,,angle change,sum,167.24207846182276,201.64973611626266,322.9752838509507,162.99318629704823,173.49760668742107,249.2668469675699,163.8837249201776,252.85830501734102,296.1155021253556,222.7092933601108,206.58909379326104,271.40547639481406,243.62913727257265
bend,bend right,,angle change,mean,0.9611613704702457,1.527649516032293,1.2187746560413233,1.147839340120058,1.1050802973721088,1.0051082539014915,1.1073224656768756,1.2706447488308594,0.9870516737511853,1.3919330835006924,0.7976412887770696,0.8588780898570065,1.054671589924557
